Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
1,DOE/SC/Oak Ridge National LaboratoryUnited States,"Summit- IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR InfinibandIBM","2,414,592","148,600.0","200,794.9","10,096"
2,DOE/NNSA/LLNLUnited States,"Sierra- IBM Power System S922LC, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR InfinibandIBM / NVIDIA / Mellanox","1,572,480","94,640.0","125,712.0","7,438"
3,National Supercomputing Center in WuxiChina,"Sunway TaihuLight- Sunway MPP, Sunway SW26010 260C 1.45GHz, SunwayNRCPC","10,649,600","93,014.6","125,435.9","15,371"
4,National Super Computer Center in GuangzhouChina,"Tianhe-2A- TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000NUDT","4,981,760","61,444.5","100,678.7","18,482"
5,Texas Advanced Computing Center/Univ. of TexasUnited States,"Frontera- Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDRDell EMC","448,448","23,516.4","38,745.9",
6,Swiss National Supercomputing Centre (CSCS)Switzerland,"Piz Daint- Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100Cray Inc.","387,872","21,230.0","27,154.3","2,384"
7,DOE/NNSA/LANL/SNLUnited States,"Trinity- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnectCray Inc.","979,072","20,158.7","41,461.2","7,578"
8,National Institute of Advanced Industrial Science and Technology (AIST)Japan,"AI Bridging Cloud Infrastructure (ABCI)- PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDRFujitsu","391,680","19,880.0","32,576.6","1,649"
9,Leibniz RechenzentrumGermany,"SuperMUC-NG- ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-PathLenovo","305,856","19,476.6","26,873.9",
10,DOE/NNSA/LLNLUnited States,"Lassen- IBM Power System S922LC, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100IBM / NVIDIA / Mellanox","288,288","18,200.0","23,047.2",
11,Total Exploration ProductionFrance,"PANGEA III- IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100IBM","291,024","17,860.0","25,025.8","1,367"
12,DOE/SC/Oak Ridge National LaboratoryUnited States,"Titan- Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20xCray Inc.","560,640","17,590.0","27,112.5","8,209"
13,DOE/NNSA/LLNLUnited States,"Sequoia- BlueGene/Q, Power BQC 16C 1.60 GHz, CustomIBM","1,572,864","17,173.2","20,132.7","7,890"
14,DOE/SC/LBNL/NERSCUnited States,"Cori- Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnectCray Inc.","622,336","14,014.7","27,880.7","3,939"
15,"Korea Institute of Science and Technology InformationKorea, South","Nurion- Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-PathCray Inc.","570,020","13,929.3","25,705.9",
16,Joint Center for Advanced High Performance ComputingJapan,"Oakforest-PACS- PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-PathFujitsu","556,104","13,554.6","24,913.5","2,719"
17,Eni S.p.A.Italy,"HPC4- Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100HPE","253,600","12,210.0","18,621.1","1,320"
18,Commissariat a l'Energie Atomique (CEA)France,"Tera-1000-2- Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2Bull, Atos Group","561,408","11,965.5","23,396.4","3,178"
19,Texas Advanced Computing Center/Univ. of TexasUnited States,"Stampede2- PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-PathDell EMC","367,024","10,680.7","18,309.2",
20,RIKEN Advanced Institute for Computational Science (AICS)Japan,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnectFujitsu","705,024","10,510.0","11,280.4","12,660"
21,CINECAItaly,"Marconi Intel Xeon Phi- CINECA Cluster, Lenovo SD530/S720AP, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-PathLenovo","348,000","10,384.9","18,816.0",
22,NVIDIA CorporationUnited States,"DGX SuperPOD- NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDRNvidia","127,488","9,444.0","11,209.1",
23,National Center for High Performance ComputingTaiwan,"Taiwania 2- QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2Quanta Computer / Taiwan Fixed Network / ASUS Cloud","170,352","9,000.0","15,208.2",798
24,DOE/SC/Argonne National LaboratoryUnited States,"Mira- BlueGene/Q, Power BQC 16C 1.60GHz, CustomIBM","786,432","8,586.6","10,066.3","3,945"
25,"GSIC Center, Tokyo Institute of TechnologyJapan","TSUBAME3.0- SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2HPE","135,828","8,125.0","12,127.1",792
26,GovernmentUnited States,"PupMaya- Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDRHPE","169,920","7,483.7","12,902.4",
27,United Kingdom Meteorological OfficeUnited Kingdom,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","241,920","7,038.9","8,128.5",
28,DOE/SC/Argonne National LaboratoryUnited States,"Theta- Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnectCray Inc.","280,320","6,920.9","11,661.3",
29,Barcelona Supercomputing CenterSpain,"MareNostrum- Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-PathLenovo","153,216","6,470.8","10,296.1","1,632"
30,Forschungszentrum Juelich (FZJ)Germany,"JUWELS Module 1- Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuiteBull, Atos Group","114,480","6,177.7","9,891.1","1,361"
31,NASA/Ames Research Center/NASUnited States,"Pleiades- SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDRHPE","241,108","5,951.6","7,107.1","4,407"
32,Japan Meteorological AgencyJapan,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnectCray Inc./Hitachi","135,792","5,730.5","9,125.2","1,354"
33,Japan Meteorological AgencyJapan,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnectCray Inc./Hitachi","135,792","5,730.5","9,125.2","1,354"
34,HLRS - Höchstleistungsrechenzentrum StuttgartGermany,"Hazel Hen- Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnectCray Inc.","185,088","5,640.2","7,403.5","3,615"
35,Max-Planck-Gesellschaft MPI/IPPGermany,"COBRA- Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-PathIntel","127,520","5,612.8","9,793.5","1,635"
36,King Abdullah University of Science and TechnologySaudi Arabia,"Shaheen II- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnectCray Inc.","196,608","5,537.0","7,235.2","2,834"
